Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Code,Population,GDP per Capita,Season,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Rank,Speed,Strength,Total
"1896-01-01,Athens,Shooting,Shooting,""ORPHANIDIS, Georgios"",Men,""Army Rifle, 300M"",Gold,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""PHRANGOUDIS, Joannis"",Men,""Army Rifle, 300M"",Silver,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Tennis,Tennis,""PASPATIS, Konstantinos"",Men,Singles,Bronze,Greece,GRE,10823732.0,18002.230577668797,summer,7.75,6.75,5.0,7.25,5.63,8.38,3.0,7.13,7.0,6.75,5.13,62.75"
"1896-01-01,Athens,Tennis,Tennis,""TAPAVICZA, Momcsillo"",Men,Singles,Bronze,Hungary,HUN,9844686.0,12363.543459653898,summer,7.75,6.75,5.0,7.25,5.63,8.38,3.0,7.13,7.0,6.75,5.13,62.75"
"1896-01-01,Athens,Tennis,Tennis,""BOLAND, John"",Men,Singles,Gold,United Kingdom,GBR,65138232.0,43875.9696143686,summer,7.75,6.75,5.0,7.25,5.63,8.38,3.0,7.13,7.0,6.75,5.13,62.75"
"1896-01-01,Athens,Tennis,Tennis,""KASDAGLIS, Dionysios"",Men,Singles,Silver,Greece,GRE,10823732.0,18002.230577668797,summer,7.75,6.75,5.0,7.25,5.63,8.38,3.0,7.13,7.0,6.75,5.13,62.75"
"1900-01-01,Paris,Aquatics,Swimming,""HALMAY, Zoltan"",Men,1500M Freestyle,Bronze,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""HALMAY, Zoltan"",Men,1500M Freestyle,Bronze,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""JARVIS, John Arthur"",Men,1500M Freestyle,Gold,United Kingdom,GBR,65138232.0,43875.9696143686,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""JARVIS, John Arthur"",Men,1500M Freestyle,Gold,United Kingdom,GBR,65138232.0,43875.9696143686,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
